,Open,High,Low,Close,Adj Close,Volume
2021-10-04 00:00:00+00:00,48208.90625,48263.9921875,47898.9609375,47953.3125,47953.3125,0
2021-10-04 01:00:00+00:00,47885.21875,48134.55078125,47748.6328125,47812.04296875,47812.04296875,0
2021-10-04 02:00:00+00:00,47812.86328125,47875.5546875,47659.59765625,47659.59765625,47659.59765625,0
2021-10-04 03:00:00+00:00,47697.234375,47761.796875,47452.90234375,47523.01171875,47523.01171875,0
2021-10-04 04:00:00+00:00,47485.48046875,47837.515625,47295.1015625,47765.953125,47765.953125,904226816
2021-10-04 05:00:00+00:00,47769.94140625,47870.96875,47758.359375,47812.3203125,47812.3203125,0
2021-10-04 06:00:00+00:00,47806.05078125,47807.72265625,47593.56640625,47754.55078125,47754.55078125,0
2021-10-04 07:00:00+00:00,47736.05078125,47804.1328125,47633.72265625,47786.39453125,47786.39453125,204603392
2021-10-04 08:00:00+00:00,47841.0390625,47904.9765625,47510.6640625,47607.921875,47607.921875,333127680
2021-10-04 09:00:00+00:00,47664.50390625,47758.17578125,47562.44921875,47726.87890625,47726.87890625,140257280
2021-10-04 10:00:00+00:00,47738.51953125,47744.85546875,47518.1953125,47663.79296875,47663.79296875,256526336
2021-10-04 11:00:00+00:00,47643.15625,47666.578125,47430.8828125,47604.2890625,47604.2890625,271808512
2021-10-04 12:00:00+00:00,47593.55078125,47810.9296875,47475.140625,47743.375,47743.375,372707328
2021-10-04 13:00:00+00:00,47736.9453125,47993.453125,47736.9453125,47954.984375,47954.984375,152698880
2021-10-04 14:00:00+00:00,48016.71875,48423.10546875,47305.97265625,47355.34765625,47355.34765625,908214272
2021-10-04 15:00:00+00:00,47423.8203125,47662.13671875,47045.00390625,47574.3671875,47574.3671875,1178021888
2021-10-04 16:00:00+00:00,47746.2734375,48775.2734375,47701.7890625,48637.36328125,48637.36328125,1939118080
2021-10-04 17:00:00+00:00,48605.28515625,49385.49609375,48322.01171875,49324.9921875,49324.9921875,477427712
2021-10-04 18:00:00+00:00,49276.734375,49456.77734375,49078.75,49336.0546875,49336.0546875,100151296
2021-10-04 19:00:00+00:00,49324.34375,49437.1328125,48896.31640625,49317.59375,49317.59375,558862336
2021-10-04 20:00:00+00:00,49364.5625,49409.4765625,48996.37890625,48996.37890625,48996.37890625,395368448
2021-10-04 21:00:00+00:00,48986.51171875,49135.70703125,48616.859375,48872.5390625,48872.5390625,0
2021-10-04 22:00:00+00:00,48904.27734375,48968.7890625,48730.54296875,48895.63671875,48895.63671875,12793856
2021-10-05 00:00:00+00:00,49174.9609375,49730.3671875,49072.83984375,49539.59765625,49539.59765625,686667776
2021-10-05 01:00:00+00:00,49510.62890625,49563.0625,49199.68359375,49269.1875,49269.1875,21876736
2021-10-05 02:00:00+00:00,49283.5546875,49335.43359375,49095.64453125,49313.29296875,49313.29296875,49244160
2021-10-05 03:00:00+00:00,49303.25390625,49450.265625,49102.29296875,49251.82421875,49251.82421875,0
2021-10-05 04:00:00+00:00,49287.4609375,49305.15234375,49102.8984375,49142.734375,49142.734375,0
2021-10-05 05:00:00+00:00,49165.41796875,49339.29296875,49165.41796875,49339.29296875,49339.29296875,374157312
2021-10-05 06:00:00+00:00,49324.91796875,49458.65625,49269.1015625,49324.5625,49324.5625,0
2021-10-05 07:00:00+00:00,49308.29296875,49631.14453125,49296.8359375,49521.12890625,49521.12890625,185542656
2021-10-05 08:00:00+00:00,49494.27734375,49903.91796875,49403.1171875,49886.19921875,49886.19921875,363565056
2021-10-05 09:00:00+00:00,49916.8203125,50297.01953125,49714.76953125,50274.65625,50274.65625,1225021440
2021-10-05 10:00:00+00:00,50283.40625,50300.79296875,49883.125,49991.48046875,49991.48046875,147443712
2021-10-05 11:00:00+00:00,50010.8828125,50146.15625,49865.47265625,49922.98828125,49922.98828125,0
2021-10-05 12:00:00+00:00,49890.7421875,50076.67578125,49756.33203125,49991.3125,49991.3125,391061504
2021-10-05 13:00:00+00:00,50006.33984375,50270.42578125,49835.42578125,50212.5859375,50212.5859375,249200640
2021-10-05 14:00:00+00:00,50232.0546875,50325.06640625,49607.66015625,49888.78515625,49888.78515625,0
2021-10-05 15:00:00+00:00,49902.5859375,50173.27734375,49739.6484375,49759.0546875,49759.0546875,0
2021-10-05 16:00:00+00:00,49755.06640625,50088.55078125,49740.11328125,50088.55078125,50088.55078125,0
2021-10-05 17:00:00+00:00,50077.16796875,50213.31640625,49940.90234375,50192.52734375,50192.52734375,0
2021-10-05 18:00:00+00:00,50184.703125,50639.22265625,50184.703125,50639.22265625,50639.22265625,340213760
2021-10-05 19:00:00+00:00,50638.2890625,51325.8828125,50608.1953125,51282.44140625,51282.44140625,916963328
2021-10-05 20:00:00+00:00,51222.65625,51726.7421875,51123.97265625,51374.58203125,51374.58203125,786071552
2021-10-05 21:00:00+00:00,51449.328125,51839.984375,51349.09375,51747.41015625,51747.41015625,421130240
2021-10-05 22:00:00+00:00,51738.84765625,51738.84765625,51334.53515625,51381.56640625,51381.56640625,95002624
2021-10-06 00:00:00+00:00,51486.6640625,51486.6640625,51204.3125,51311.3125,51311.3125,0
2021-10-06 01:00:00+00:00,51326.015625,51326.015625,50974.1953125,51266.16796875,51266.16796875,25124864
2021-10-06 02:00:00+00:00,51287.5625,51593.67578125,51159.796875,51579.1171875,51579.1171875,0
2021-10-06 03:00:00+00:00,51560.453125,51612.60546875,51285.39453125,51563.03515625,51563.03515625,11685888
2021-10-06 04:00:00+00:00,51562.32421875,51593.02734375,51196.78515625,51338.77734375,51338.77734375,62222336
2021-10-06 05:00:00+00:00,51340.0625,51727.72265625,51248.39453125,51509.0546875,51509.0546875,707915776
2021-10-06 06:00:00+00:00,51529.1328125,51734.08984375,51467.7578125,51568.97265625,51568.97265625,272416768
2021-10-06 07:00:00+00:00,51516.5234375,51573.91796875,51266.265625,51473.8046875,51473.8046875,521334784
2021-10-06 08:00:00+00:00,51491.72265625,51498.203125,50573.9921875,50707.42578125,50707.42578125,1031782400
2021-10-06 09:00:00+00:00,50715.9453125,50843.72265625,50488.19140625,50716.94140625,50716.94140625,40747008
2021-10-06 10:00:00+00:00,50704.61328125,51486.59765625,50680.15625,51242.03125,51242.03125,860385280
2021-10-06 11:00:00+00:00,51212.80859375,51480.94140625,51143.4375,51408.69921875,51408.69921875,339054592
2021-10-06 12:00:00+00:00,51342.09375,52840.6328125,51336.87890625,52840.6328125,52840.6328125,2536701952
2021-10-06 13:00:00+00:00,52750.78125,55172.68359375,52699.1171875,54000.4140625,54000.4140625,6394212352
2021-10-06 14:00:00+00:00,53958.53515625,54516.78125,53786.6484375,54516.78125,54516.78125,900558848
2021-10-06 15:00:00+00:00,54477.08203125,55052.12890625,54330.87109375,55040.8359375,55040.8359375,1211830272
2021-10-06 16:00:00+00:00,54942.26953125,55012.94921875,54467.40625,54822.0546875,54822.0546875,452243456
2021-10-06 17:00:00+00:00,54864.2890625,54869.90625,54535.46875,54561.953125,54561.953125,0
2021-10-06 18:00:00+00:00,54574.734375,55090.203125,54559.234375,54583.8125,54583.8125,0
2021-10-06 19:00:00+00:00,54530.4921875,55047.66796875,54530.4921875,55047.66796875,55047.66796875,0
2021-10-06 20:00:00+00:00,55072.0390625,55367.87890625,54861.86328125,54935.171875,54935.171875,0
2021-10-06 21:00:00+00:00,54946.546875,55277.6953125,54946.546875,55105.9765625,55105.9765625,0
2021-10-06 22:00:00+00:00,55098.82421875,55264.1640625,54938.1484375,55211.140625,55211.140625,0
2021-10-07 00:00:00+00:00,55338.625,55338.625,54595.3125,54854.46875,54854.46875,0
2021-10-07 01:00:00+00:00,54813.51171875,54904.77734375,54193.73046875,54820.890625,54820.890625,428171264
2021-10-07 02:00:00+00:00,54799.08203125,55192.88671875,54729.9375,55064.45703125,55064.45703125,322101248
2021-10-07 03:00:00+00:00,55077.671875,55191.0390625,54786.4375,54874.10546875,54874.10546875,0
2021-10-07 04:00:00+00:00,54853.6484375,55265.2265625,54838.78515625,55114.4921875,55114.4921875,81276928
2021-10-07 05:00:00+00:00,55123.484375,55123.484375,54642.890625,54715.47265625,54715.47265625,0
2021-10-07 06:00:00+00:00,54764.06640625,54975.94921875,54494.81640625,54583.02734375,54583.02734375,0
2021-10-07 07:00:00+00:00,54573.671875,54792.71875,54341.66015625,54779.58203125,54779.58203125,341958656
2021-10-07 08:00:00+00:00,54775.34765625,54775.34765625,54449.078125,54573.2890625,54573.2890625,0
2021-10-07 09:00:00+00:00,54541.2578125,54541.2578125,53807.6953125,54269.62890625,54269.62890625,0
2021-10-07 10:00:00+00:00,54286.23046875,54397.328125,53862.9765625,53926.64453125,53926.64453125,0
2021-10-07 11:00:00+00:00,53924.4765625,54358.94921875,53924.4765625,54358.94921875,54358.94921875,150515712
2021-10-07 12:00:00+00:00,54312.44921875,54331.2890625,53775.578125,53960.140625,53960.140625,0
2021-10-07 13:00:00+00:00,53995.60546875,54632.2265625,53862.07421875,54575.140625,54575.140625,0
2021-10-07 14:00:00+00:00,54587.68359375,54668.64453125,53532.84375,53826.73046875,53826.73046875,0
2021-10-07 15:00:00+00:00,53826.91015625,54166.28125,53764.4765625,53865.39453125,53865.39453125,0
2021-10-07 16:00:00+00:00,53912.5703125,54252.23828125,53525.46875,54147.09375,54147.09375,0
2021-10-07 17:00:00+00:00,54158.41015625,54297.26953125,54033.26953125,54164.0703125,54164.0703125,18706432
2021-10-07 18:00:00+00:00,54184.0625,54202.8125,53874.3203125,53926.53125,53926.53125,0
2021-10-07 19:00:00+00:00,53904.59765625,54139.96875,53873.765625,53933.62109375,53933.62109375,0
2021-10-07 20:00:00+00:00,53969.43359375,54270.40625,53924.296875,54190.72265625,54190.72265625,0
2021-10-07 21:00:00+00:00,54183.92578125,54516.15625,54145.14453125,54261.94921875,54261.94921875,0
2021-10-07 22:00:00+00:00,54279.375,54470.73828125,53807.20703125,53887.25,53887.25,0
2021-10-08 00:00:00+00:00,53802.14453125,54223.2734375,53756.83203125,54135.39453125,54135.39453125,0
2021-10-08 01:00:00+00:00,54134.72265625,54396.21484375,54075.953125,54308.1171875,54308.1171875,0
2021-10-08 02:00:00+00:00,54313.140625,54417.8515625,53834.04296875,53864.46875,53864.46875,0
2021-10-08 03:00:00+00:00,53859.34765625,53926.64453125,53735.51171875,53819.5859375,53819.5859375,0
2021-10-08 04:00:00+00:00,53832.23828125,53968.91015625,53797.99609375,53880.98046875,53880.98046875,0
2021-10-08 05:00:00+00:00,53888.64453125,54130.80859375,53688.0546875,54130.80859375,54130.80859375,0
2021-10-08 06:00:00+00:00,54163.13671875,54237.3125,54027.38671875,54153.84375,54153.84375,97497088
2021-10-08 07:00:00+00:00,54129.6328125,54825.1796875,54049.33203125,54775.71875,54775.71875,755310592
2021-10-08 08:00:00+00:00,54822.52734375,55922.98046875,54795.21484375,55789.83203125,55789.83203125,2443526144
2021-10-08 09:00:00+00:00,55809.51171875,55861.5546875,55213.23046875,55292.55859375,55292.55859375,0
2021-10-08 10:00:00+00:00,55227.71484375,55557.74609375,55227.71484375,55526.96875,55526.96875,0
2021-10-08 11:00:00+00:00,55493.44921875,55596.5390625,55202.171875,55267.671875,55267.671875,0
2021-10-08 12:00:00+00:00,55260.10546875,55285.94921875,54676.5078125,54817.3984375,54817.3984375,0
2021-10-08 13:00:00+00:00,54861.8359375,54861.8359375,54224.53125,54224.53125,54224.53125,0
2021-10-08 14:00:00+00:00,54212.21875,54689.796875,54212.21875,54636.80078125,54636.80078125,0
2021-10-08 15:00:00+00:00,54612.18359375,54776.52734375,54115.73828125,54282.49609375,54282.49609375,0
2021-10-08 16:00:00+00:00,54328.0,54494.8125,54106.3828125,54296.3984375,54296.3984375,0
2021-10-08 17:00:00+00:00,54317.55078125,54435.7890625,54172.85546875,54310.09375,54310.09375,0
2021-10-08 18:00:00+00:00,54306.359375,54648.91796875,54270.75,54518.55859375,54518.55859375,0
2021-10-08 19:00:00+00:00,54525.49609375,54704.015625,54331.2890625,54620.984375,54620.984375,0
2021-10-08 20:00:00+00:00,54686.87890625,54737.4453125,53909.04296875,53967.50390625,53967.50390625,0
2021-10-08 21:00:00+00:00,53996.9609375,54283.76171875,53913.2734375,54238.41015625,54238.41015625,262926336
2021-10-08 22:00:00+00:00,54175.42578125,54243.80859375,54059.30859375,54094.14453125,54094.14453125,0
2021-10-09 00:00:00+00:00,53929.78125,54253.828125,53735.14453125,54221.49609375,54221.49609375,96362496
2021-10-09 01:00:00+00:00,54256.6796875,54296.515625,53871.78125,53987.2578125,53987.2578125,0
2021-10-09 02:00:00+00:00,54033.54296875,54188.91015625,53873.82421875,54171.5234375,54171.5234375,169058304
2021-10-09 03:00:00+00:00,54163.39453125,54692.4375,54141.984375,54580.734375,54580.734375,387653632
2021-10-09 04:00:00+00:00,54592.125,54717.43359375,54530.15625,54672.3828125,54672.3828125,288464896
2021-10-09 05:00:00+00:00,54697.31640625,54741.59765625,54430.87890625,54619.1484375,54619.1484375,0
2021-10-09 06:00:00+00:00,54593.21484375,55048.16796875,54593.21484375,54872.9296875,54872.9296875,413777920
2021-10-09 07:00:00+00:00,54841.9765625,55008.3046875,54751.5703125,54918.13671875,54918.13671875,0
2021-10-09 08:00:00+00:00,54925.48828125,55037.78515625,54562.58203125,54733.21484375,54733.21484375,0
2021-10-09 09:00:00+00:00,54738.890625,54900.8125,54549.9296875,54896.12109375,54896.12109375,0
